NLAYER 130
NWVL 30 300 10
LAYER -670 -660
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -630 -620
ABS 0.0066 0.0064 0.0062 0.0060 0.0058 0.0056 0.0055 0.0054 0.0053 0.0053 0.0054 0.0055 0.0057 0.0061 0.0067 0.0075 0.0086 0.0101 0.0121 0.0146 0.0178 0.0218 0.0269 0.0331 0.0406 0.0497 0.0607 0.0738 0.0892 0.1074 
SCAT 0.0425 0.0414 0.0403 0.0393 0.0383 0.0374 0.0365 0.0357 0.0349 0.0342 0.0335 0.0328 0.0322 0.0315 0.0309 0.0304 0.0298 0.0293 0.0288 0.0283 0.0278 0.0274 0.0269 0.0265 0.0261 0.0257 0.0253 0.0249 0.0246 0.0242 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -620 -610
ABS 0.0066 0.0064 0.0062 0.0060 0.0058 0.0057 0.0055 0.0054 0.0054 0.0053 0.0054 0.0055 0.0058 0.0061 0.0067 0.0075 0.0086 0.0101 0.0121 0.0146 0.0178 0.0219 0.0269 0.0331 0.0406 0.0497 0.0607 0.0738 0.0892 0.1074 
