NLAYER 1
NWVL 30 300 10
LAYER -1000 1000
ABS 0.0110 0.0106 0.0103 0.0099 0.0096 0.0094 0.0091 0.0089 0.0087 0.0086 0.0086 0.0086 0.0088 0.0091 0.0096 0.0104 0.0114 0.0128 0.0147 0.0172 0.0203 0.0243 0.0293 0.0354 0.0429 0.0520 0.0629 0.0760 0.0914 0.1095 
SCAT 0.0665 0.0647 0.0630 0.0614 0.0599 0.0585 0.0572 0.0559 0.0547 0.0535 0.0524 0.0513 0.0503 0.0493 0.0484 0.0475 0.0467 0.0458 0.0450 0.0443 0.0435 0.0428 0.0421 0.0415 0.0408 0.0402 0.0396 0.0390 0.0385 0.0379 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
